"caso_id","llamante_descripcion","llamante_genero","llamante_vinculo_ninios_presentes","violencia_tipo","victima_edad","victima_rango_etario","victima_genero","victima_cantidad","agresor_cantidad","agresor_genero","agresor_relacion_victima","llamado_derivacion","llamado_fecha_hora","llamado_provincia","llamado_provincia_id"
"410714","Comisaría","Femenino","No hay niñas/os","Física y psicológica","50","50 a 59 años","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-01-01 00:31:00","Ciudad Autónoma de Buenos Aires","02"
"410715","Víctima","Femenino","Sin datos","Psicológica","Sin dato","Sin dato","Femenino","1","1","Masculino","Padre","Llamante solicitó información y/o orientación","2019-01-01 00:39:00","Ciudad Autónoma de Buenos Aires","02"
"410716","Familiar","Femenino","Sin datos","Psicológica","Sin dato","Sin dato","Masculino","1","1","Femenino","Madre","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-01-01 01:50:00","Ciudad Autónoma de Buenos Aires","02"
"410718","Comisaría","Femenino","No hay niñas/os","Física y psicológica","62","Más de 60 años","Femenino","1","4","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-01-01 02:09:00","Ciudad Autónoma de Buenos Aires","02"
"410728","Víctima","Femenino","No hay niñas/os","Física y psicológica","59","50 a 59 años","Femenino","1","1","Masculino","Pareja","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-01-01 09:59:00","Ciudad Autónoma de Buenos Aires","02"
"410729","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","46","40 a 49 años","Femenino","3","1","Masculino","Pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-01-01 10:28:00","Ciudad Autónoma de Buenos Aires","02"
"410730","Comisaría","Masculino","Otra/o no familiar","Física y psicológica","27","18 a 29 años","Femenino","4","1","Masculino","Pareja","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-01-01 11:11:00","Ciudad Autónoma de Buenos Aires","02"
"410731","Comisaría","Masculino","No hay niñas/os","Física y psicológica","52","50 a 59 años","Femenino","1","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-01-01 11:34:00","Ciudad Autónoma de Buenos Aires","02"
"410732","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","28","18 a 29 años","Femenino","1","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-01-01 11:38:00","Ciudad Autónoma de Buenos Aires","02"
"410733","Víctima","Femenino","No hay niñas/os","Física y psicológica","64","Más de 60 años","Masculino","1","1","Femenino","Hijo/a","Llamante solicitó información y/o orientación","2019-01-01 11:46:00","Ciudad Autónoma de Buenos Aires","02"
"410734","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","29","18 a 29 años","Femenino","2","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-01-01 12:05:00","Ciudad Autónoma de Buenos Aires","02"
"410735","Comisaría","Masculino","Otra/o no familiar","Física y psicológica","37","30 a 39 años","Femenino","1","1","Femenino","Ex pareja","Llamante solicitó información y/o orientación","2019-01-01 13:37:00","Ciudad Autónoma de Buenos Aires","02"
"410736","Otra/o sobre una situación de conflicto familiar","Femenino","No hay niñas/os","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2019-01-01 16:57:00","Ciudad Autónoma de Buenos Aires","02"
"410737","Comisaría","Femenino","Madre","Física y psicológica","21","18 a 29 años","Femenino","1","1","Masculino","Pareja","No había móviles y/o Equipos para realizar la intervención","2019-01-01 17:48:00","Ciudad Autónoma de Buenos Aires","02"
"410738","Otro/a Particular","Femenino","Madre","Física y psicológica","16","12 a 17 años","Femenino","1","1","Femenino","Madre","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-01-01 19:46:00","Ciudad Autónoma de Buenos Aires","02"
"410739","Comisaría","Masculino","Otra/o no familiar","Física y psicológica","15","12 a 17 años","Femenino","3","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-01-01 23:14:00","Ciudad Autónoma de Buenos Aires","02"
